VERDE EXIT 0: 45 cifra(s) cotejadas contra su fichero de salida o wc -l, todas cuadran:
  12 operaciones == 12 contados en `SALIDA_V156_T1_ADJUDICACIONES.txt (CIFRA 'adjudicaciones escritas', POR ETIQUETA)`
  154 linea == 154 contados en `SALIDA_V156_T1_ADJUDICACIONES.txt (CIFRA 'lineas del registro de citas', POR ETIQUETA)`
  154 par == 154 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'pares bidireccionales CITADOS', POR ETIQUETA)`
  0 par == 0 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'pares bidireccionales HUERFANOS', POR ETIQUETA)`
  3 par == 3 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'pares EXCLUIDOS por declarante deprecado', POR ETIQUETA)`
  157 par == 157 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'pares del universo ENSANCHADO', POR ETIQUETA)`
  2 nodo == 2 contados en `SALIDA_V156_T2A_CONTRA_GRAFO.txt (CIFRA 'nodos vivos del par', POR ETIQUETA)`
  4 direccion == 4 contados en `SALIDA_V156_T2A_CONTRA_GRAFO.txt (CIFRA 'vistas que declaran la arista', POR ETIQUETA)`
  1 linea == 1 contados en `SALIDA_V156_T2A_CONTRA_GRAFO.txt (CIFRA 'otras entradas del registro que tocan al par', POR ETIQUETA)`
  0 par == 0 contados en `SALIDA_V156_T2B_DECISION_LD097.txt (CIFRA 'candidatos a fusion registrados', POR ETIQUETA)`
  3388 fila == 3388 contados en `SALIDA_V156_T2B_DECISION_LD097.txt (CIFRA 'veredictos del cribado', POR ETIQUETA)`
  1 par == 1 contados en `SALIDA_V156_T2B_DECISION_LD097.txt (CIFRA 'entradas del registro reclasificadas', POR ETIQUETA)`
  2 fichero == 2 contados en `SALIDA_V156_T2B_DECISION_LD097.txt (CIFRA 'sedes corregidas', POR ETIQUETA)`
  2 par == 2 contados en `SALIDA_V156_T3A_FIGURA_DELGADA.txt (CIFRA 'lecturas dirigidas que nombran las dos lineas', POR ETIQUETA)`
  5 par == 5 contados en `SALIDA_V156_T3A_FIGURA_DELGADA.txt (CIFRA 'lecturas dirigidas que nombran una sola', POR ETIQUETA)`
  115 par == 115 contados en `SALIDA_V156_T3A_FIGURA_DELGADA.txt (CIFRA 'lecturas dirigidas que no nombran ninguna', POR ETIQUETA)`
  1 par == 1 contados en `SALIDA_V156_T3A_FIGURA_DELGADA.txt (CIFRA 'lecturas que corrigen al computo', POR ETIQUETA)`
  116 par == 116 contados en `SALIDA_V156_T3A_FIGURA_DELGADA.txt (CIFRA 'lecturas dirigidas SIN FIGURA tras la relectura a mano', POR ETIQUETA)`
  2 par == 2 contados en `SALIDA_V156_T3B_RELECTURA.txt (CIFRA 'lecturas dirigidas reclasificadas por la TAREA 3.b', POR ETIQUETA)`
  3388 fila == 3388 contados en `SALIDA_V156_T3B_RELECTURA.txt (CIFRA 'veredictos del cribado', POR ETIQUETA)`
  4 comprobacion == 4 contados en `SALIDA_V156_T4B_MUTACION.txt (CIFRA 'casos del arnes en verde', POR ETIQUETA)`
  21 fichero == 21 contados en `SALIDA_V156_T4C_CIFRAS.txt (CIFRA 'invocaciones de --fase halladas', POR ETIQUETA)`
  1 fichero == 1 contados en `SALIDA_V156_T4C_CIFRAS.txt (CIFRA 'invocaciones con nombre que no calza', POR ETIQUETA)`
  55 fichero == 55 contados en `SALIDA_V156_T4C_CIFRAS.txt (CIFRA 'salidas selladas del tallador', POR ETIQUETA)`
  2 fichero == 2 contados en `SALIDA_V156_T4C_CIFRAS.txt (CIFRA 'salidas selladas con nombre de fase que no calza', POR ETIQUETA)`
  0 fichero == 0 contados en `SALIDA_V156_T4C_CIFRAS.txt (CIFRA 'salidas que no calzan y ADEMAS estan citadas', POR ETIQUETA)`
  6 comprobacion == 6 contados en `SALIDA_V156_T5D_MUTACION_CORREDOR.txt (CIFRA 'casos del arnes en verde', POR ETIQUETA)`
  4 comprobacion == 4 contados en `SALIDA_V156_T6_SERIE.txt (CIFRA 'corridas del instrumento', POR ETIQUETA)`
  4 operaciones == 4 contados en `SALIDA_V156_T6_SERIE.txt (CIFRA 'fichas que la vara nueva devuelve al silencio en el corte 32b2c76e', POR ETIQUETA)`
  0 operaciones == 0 contados en `SALIDA_V156_T6_SERIE.txt (CIFRA 'fichas que la vara nueva devuelve al silencio en el corte cf945888', POR ETIQUETA)`
  23 fichero == 23 contados en `SALIDA_V156_T7_HUECO_P3B.txt (CIFRA 'scripts de la bateria', POR ETIQUETA)`
  4 operaciones == 4 contados en `SALIDA_V156_T7_HUECO_P3B.txt (CIFRA 'fichas que se apoyan en la P3b', POR ETIQUETA)`
  0 operaciones == 0 contados en `SALIDA_V156_T7_HUECO_P3B.txt (CIFRA 'fichas con su caso positivo cubierto por la bateria', POR ETIQUETA)`
  4 operaciones == 4 contados en `SALIDA_V156_T7_HUECO_P3B.txt (CIFRA 'fichas con al menos una cita que la bateria no cubre', POR ETIQUETA)`
  10 fichero == 10 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'ficheros de apertura sellados de la vuelta 156', POR ETIQUETA)`
  0 par == 0 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'pares examinados por la guarda de cifras del plan', POR ETIQUETA)`
  5 fila == 5 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'filas de la tabla por fase ENTERAS', POR ETIQUETA)`
  3 fila == 3 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'filas de la tabla por fase A MEDIAS', POR ETIQUETA)`
  0 fila == 0 contados en `SALIDA_V156_T8_CIFRAS_DERIVADAS.txt (CIFRA 'filas de la tabla por fase INCUMPLIDAS', POR ETIQUETA)`
  71 operaciones == 71 contados en `SALIDA_V156_T9_EXPEDIENTE_CIERRE.txt (CIFRA 'fichas del expediente', POR ETIQUETA)`
  36 operaciones == 36 contados en `SALIDA_V156_T9_EXPEDIENTE_CIERRE.txt (CIFRA 'fichas que no calzan', POR ETIQUETA)`
  24 operaciones == 24 contados en `SALIDA_V156_T9_EXPEDIENTE_CIERRE.txt (CIFRA 'fichas congeladas declaradas', POR ETIQUETA)`
  12 operaciones == 12 contados en `SALIDA_V156_T9_EXPEDIENTE_CIERRE.txt (CIFRA 'fichas congeladas en silencio', POR ETIQUETA)`
  0 operaciones == 0 contados en `SALIDA_V156_T9_EXPEDIENTE_CIERRE.txt (CIFRA 'fichas HECHA sin ninguna prueba', POR ETIQUETA)`
  7 operaciones == 7 contados en `SALIDA_V156_T9_EXPEDIENTE_CIERRE.txt (CIFRA 'fichas en LISTA sin ninguna prueba', POR ETIQUETA)`
afirmacion(es) de CIERRE cotejadas (1), cada una con LO QUE SU FICHERO DICE (computado, no tecleado):
  linea 739 (sujeto 'fase', verbo 'cierra') <-> `SALIDA_V156_T9_ESTADO_FASE_08.txt`: sin cumplir: 1, y la ventana las nombra todas
