OP-F-04-COL: 15 nodos en el campo nodos
nodo                                            pasos   vivo  fuente
blueprint_de_experiencia                           17   True  Change by Design | Never Lose a Customer Again - Joey Coleman
cliente_disena_producto                             8   True  Winning at New Products - Robert G. Cooper | Never Lose a Customer Again - Joey Coleman
cultura_de_experiencia                             12   True  Change by Design | Never Lose a Customer Again - Joey Coleman
customer_journey_mapping                           10   True  Change by Design, Revised and U - Tim Brown | Never Lose a Customer Again - Joey Coleman
diseno_estructura_recompensas_roles                 7   True  The Founder's Dilemmas | Never Lose a Customer Again - Joey Coleman
estrategia_crecimiento_clientes                    10   True  The Startup Owner's Manual - Steve Blank | Never Lose a Customer Again - Joey Coleman
ganar_comprension_del_cliente                      11   True  The Startup Owner's Manual - Steve Blank | Never Lose a Customer Again - Joey Coleman
keep_customers_strategy                             6   True  The Startup Owner's Manual - Steve Blank | Never Lose a Customer Again - Joey Coleman
metas_vs_proposito                                 14   True  Assembling Tomorrow: A Guide to Designing a Thriving Future | The Hard Thing About Hard Thing - Ben Horowitz | Never Lose a Customer Again - Joey Coleman
project_close_out                                  11   True  A Project Manager's Book of Forms - Cynthia Stackpole Snyder | Never Lose a Customer Again - Joey Coleman
relaciones_con_clientes                             8   True  Business Model Generation - Osterwalder | Never Lose a Customer Again - Joey Coleman
retention_metrics                                   9   True  The Startup Owner's Manual - Steve Blank | Never Lose a Customer Again - Joey Coleman
sistema_inmune_producto                             9   True  The Lean Startup - Eric Ries | Never Lose a Customer Again - Joey Coleman
viral_loop_marketing                               30   True  The Startup Owner's Manual - Blank, Steve | Never Lose a Customer Again - Joey Coleman | Traction - Gabriel Weinberg
voz_del_cliente_voc                                10   True  Winning at New Products - Robert G. Cooper | Never Lose a Customer Again - Joey Coleman
