CIERRE DEL VOLCADO, medido hoy:
  TOTAL n 3388  A 582  B 84  C 8  D 2714
  core  n 1445  A 343 (23.7%)  B 82  C 8  D 1012
  compras            n 155   A 1    B 2   C 0   D 152
  entrega            n 171   A 2    B 0   C 0   D 169
  environmental      n 170   A 29   B 0   C 0   D 141
  exportacion        n 130   A 15   B 0   C 0   D 115
  franquicias        n 148   A 18   B 0   C 0   D 130
  health_safety      n 192   A 45   B 0   C 0   D 147
  quality            n 844   A 126  B 0   C 0   D 718
  risk_management    n 106   A 0    B 0   C 0   D 106
  seguridad_digital  n 27    A 3    B 0   C 0   D 24
