n 3388
marcador {'D': 2716, 'A': 581, 'B': 83, 'C': 8}

dominio                   n      A     tasa
core                   1445    342    23.7%
quality                 844    126    14.9%
health_safety           192     45    23.4%
entrega                 171      2     1.2%
environmental           170     29    17.1%
compras                 155      1     0.6%
franquicias             148     18    12.2%
exportacion             130     15    11.5%
risk_management         106      0     0.0%
seguridad_digital        27      3    11.1%

core detalle: {'A': 342, 'D': 1014, 'B': 81, 'C': 8}
