n 3388
marcador {'D': 2721, 'A': 576, 'B': 83, 'C': 8}

dominio                   n      A     tasa      B      C      D
core                   1445    337    23.3%     81      8   1019
quality                 844    126    14.9%      0      0    718
health_safety           192     45    23.4%      0      0    147
entrega                 171      2     1.2%      0      0    169
environmental           170     29    17.1%      0      0    141
compras                 155      1     0.6%      2      0    152
franquicias             148     18    12.2%      0      0    130
exportacion             130     15    11.5%      0      0    115
risk_management         106      0     0.0%      0      0    106
seguridad_digital        27      3    11.1%      0      0     24

dominios: 10
