==============================================================================
CASO POSITIVO: tallador --fase04 --vuelta 78 CONTRA REPORTE.md archivado en 0ea71f3a
==============================================================================
  censo nodos (apertura)                 | tallador: 3853                                       | archivado: 3.853                                      | IGUAL
  censo vivos (apertura)                 | tallador: 3188                                       | archivado: 3.188                                      | IGUAL
  censo deprecados (apertura)            | tallador: 665                                        | archivado: 665                                        | IGUAL
  nodos_siguientes (apertura)            | tallador: 8925                                       | archivado: 8.925                                      | IGUAL
  nodos_previos (apertura)               | tallador: 8904                                       | archivado: 8.904                                      | IGUAL
  suma (apertura)                        | tallador: 17829                                      | archivado: 17.829                                     | IGUAL
  union (apertura)                       | tallador: 9548                                       | archivado: 9.548                                      | IGUAL
  motor (apertura)                       | tallador: 25/25                                      | archivado: 25/25                                      | IGUAL
  web ficheros+tests (apertura)          | tallador: 80 passed (80) / 1.030 passed, 3 skipped (1.033) | archivado: 80 ficheros, 1.030 pasadas, 3 saltadas     | IGUAL
  tsc (apertura)                         | tallador: EXITCODE 0, cero lineas                    | archivado: exitcode 0, cero lineas                    | IGUAL
  Gate0 (apertura)                       | tallador: OK auto-aristas 0 duplicadas 0 divergentes 0 | archivado: OK (ciclo de tres, auto-aristas 0, duplicadas 0, divergentes 0) | IGUAL
  censo (cierre, sin cambio)             | tallador: 3853 nodos, 3188 vivos, 665 deprecados     | archivado: 3.853 nodos, 3.188 vivos, 665 deprecados   | IGUAL
  nodos_siguientes (cierre)              | tallador: 8949                                       | archivado: 8.949                                      | IGUAL
  nodos_previos (cierre)                 | tallador: 8928                                       | archivado: 8.928                                      | IGUAL
  suma (cierre)                          | tallador: 17877                                      | archivado: 17.877                                     | IGUAL
  union (cierre)                         | tallador: 9572                                       | archivado: 9.572                                      | IGUAL
  Gate0 (cierre)                         | tallador: OK auto-aristas 0 duplicadas 0 divergentes 0 | archivado: OK, ciclo de tres, auto-aristas 0, duplicadas 0, divergentes 0 | IGUAL
  motor (cierre)                         | tallador: 25/25                                      | archivado: 25/25                                      | IGUAL
  web (cierre)                           | tallador: 80 passed (80) / 1.030 passed, 3 skipped (1.033) | archivado: 80 ficheros, 1.030 pasadas, 3 saltadas     | IGUAL
  tsc (cierre)                           | tallador: EXITCODE 0, cero lineas                    | archivado: EXITCODE 0, cero lineas                    | IGUAL
  marcador A (cierre)                    | tallador: 551                                        | archivado: 551                                        | IGUAL
  marcador B (cierre)                    | tallador: 72                                         | archivado: 72                                         | IGUAL
  marcador C (cierre)                    | tallador: 5                                          | archivado: 5                                          | IGUAL
  marcador D (cierre)                    | tallador: 2760                                       | archivado: 2.760                                      | IGUAL
  marcador n (cierre)                    | tallador: 3388                                       | archivado: 3.388                                      | IGUAL

RESULTADO: TODAS IGUALES
