##### 00_CODIGO
CIFRA: operaciones del catalogo: 7 | con destino cumplido: 0 | sin cumplir: 7 | de ellas, sin vara escrita: 7 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 01_FUENTES
CIFRA: operaciones del catalogo: 7 | con destino cumplido: 0 | sin cumplir: 7 | de ellas, sin vara escrita: 7 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 02_DESTEJIDOS
CIFRA: operaciones del catalogo: 9 | con destino cumplido: 2 | sin cumplir: 7 | de ellas, sin vara escrita: 7 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 03_FUSIONES
CIFRA: operaciones del catalogo: 16 | con destino cumplido: 12 | sin cumplir: 4 | de ellas, sin vara escrita: 2 | de ellas, consumidas con superviviente divergente: 2 | de ellas, consumidas: 0
##### 04_ENLACES
CIFRA: operaciones del catalogo: 10 | con destino cumplido: 5 | sin cumplir: 5 | de ellas, sin vara escrita: 5 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 05_SANEO
CIFRA: operaciones del catalogo: 10 | con destino cumplido: 1 | sin cumplir: 9 | de ellas, sin vara escrita: 9 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 06_MESAS
CIFRA: operaciones del catalogo: 16 | con destino cumplido: 16 | sin cumplir: 0 | de ellas, sin vara escrita: 0 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 07_ADUANA
CIFRA: operaciones del catalogo: 2 | con destino cumplido: 0 | sin cumplir: 2 | de ellas, sin vara escrita: 2 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 08_VERIFICACION
CIFRA: operaciones del catalogo: 1 | con destino cumplido: 0 | sin cumplir: 1 | de ellas, sin vara escrita: 1 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 09_LECTURAS_DIRIGIDAS
CIFRA: operaciones del catalogo: 3 | con destino cumplido: 0 | sin cumplir: 3 | de ellas, sin vara escrita: 3 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
##### 10_INVENTARIO
CIFRA: operaciones del catalogo: 1 | con destino cumplido: 0 | sin cumplir: 1 | de ellas, sin vara escrita: 1 | de ellas, consumidas con superviviente divergente: 0 | de ellas, consumidas: 0
