docs/plan\OP_E_01_DECIDIDAS.jsonl: 1 puestos | de interes: []
docs/plan\OP_E_06_DIRECCION_V90.jsonl: 114 puestos | de interes: []
docs/plan\OP_E_06_REBASE_V88.jsonl: 129 puestos | de interes: []
docs/plan\OP_E_06_REBASE_V89.jsonl: 117 puestos | de interes: []
docs/plan\OP_E_06_REBASE_V90.jsonl: 117 puestos | de interes: []
docs/plan\OP_E_07_DIRECCION_V91.jsonl: 88 puestos | de interes: [1009, 1281]
docs/plan\OP_E_07_DIRECCION_V92.jsonl: 87 puestos | de interes: [1009, 1281]
docs/plan\OP_E_07_DIRECCION_V93.jsonl: 86 puestos | de interes: [1281]
docs/plan\OP_E_07_REBASE_V91.jsonl: 88 puestos | de interes: [1009, 1281]
docs/plan\OP_E_07_TERCER_CONJUNTO_V93.jsonl: 81 puestos | de interes: [1397, 995, 1007, 1024]
docs/plan\COSECHA_RAZONES_D.jsonl: 397 puestos | de interes: [1009, 1397, 1281, 995, 1007, 1024]
